id,Forward_pre,Backward_pre,Combined_pre,Forward_post,Backward_post,Combined_post,Forward Difference,Backward Difference,Combined Difference,Category
1,6,5,11,6,6,12,0,1,1,TikTok
2,3,5,8,7,6,13,4,1,5,Video
3,6,4,10,5,6,11,-1,2,1,TikTok
4,6,5,11,7,6,13,1,1,2,Video
5,6,4,10,8,4,12,2,0,2,TikTok
6,4,3,7,5,5,10,1,2,3,Video
7,4,7,11,6,8,14,2,1,3,TikTok
9,7,5,12,7,7,14,0,2,2,TikTok
10,6,4,10,7,3,10,1,-1,0,Video
11,7,6,13,7,4,11,0,-2,-2,TikTok
13,5,5,10,5,4,9,0,-1,-1,TikTok
14,8,7,15,9,6,15,1,-1,0,Video
15,7,4,11,6,5,11,-1,1,0,TikTok
16,5,5,10,5,4,9,0,-1,-1,Video
17,5,8,13,8,8,16,3,0,3,TikTok
18,7,6,13,7,5,12,0,-1,-1,Video
20,7,7,14,9,9,18,2,2,4,Video
21,8,8,16,9,10,19,1,2,3,TikTok
23,5,5,10,5,5,10,0,0,0,TikTok
25,9,8,17,7,0,7,-2,-8,-10,TikTok
51,5,5,10,6,7,13,1,2,3,TikTok
55,5,4,9,6,5,11,1,1,2,TikTok
60,8,5,13,9,7,16,1,2,3,Video
80,10,5,15,8,9,17,-2,4,2,Video
82,6,4,10,5,6,11,-1,2,1,Video
